Number of rows:,204838008
Query,ClickHouse version,DuckDB version,ClickHouse Query Runtime,DuckDB Query Runtime,ClickHouse Query Description,DuckDB Query Description,ClickHouse samples,DuckDB samples
query_0,23.7.4.5,0.8.1,0.9603533744812012,0.45368337631225586,"SELECT avg(c1) FROM(SELECT Year, Month, count(*) AS c1 FROM file(ontime_parquet_a7070b00_458b_11ee_9394_5d3e96bc1319.parquet) GROUP BY Year, Month);","SELECT avg(c1) FROM(SELECT Year, Month, count(*) AS c1 FROM ""/data1/ontime_parquet_a7070b00_458b_11ee_9394_5d3e96bc1319.parquet"" GROUP BY Year, Month);","[1.0547115802764893, 0.9921779632568359, 0.9603533744812012]","[1.534080982208252, 0.4679272174835205, 0.45368337631225586]"
query_1,23.7.4.5,0.8.1,0.5615756511688232,0.31714963912963867,"SELECT DayOfWeek, count(*) AS c FROM file(ontime_parquet_a7070b00_458b_11ee_9394_5d3e96bc1319.parquet) WHERE Year>=2000 AND Year<=2008 GROUP BY DayOfWeek ORDER BY c DESC;","SELECT DayOfWeek, count(*) AS c FROM ""/data1/ontime_parquet_a7070b00_458b_11ee_9394_5d3e96bc1319.parquet"" WHERE Year>=2000 AND Year<=2008 GROUP BY DayOfWeek ORDER BY c DESC;","[0.5221631526947021, 0.5121176242828369, 0.5615756511688232]","[0.35193490982055664, 0.31458449363708496, 0.31714963912963867]"
query_2,23.7.4.5,0.8.1,0.5324397087097168,0.3192718029022217,"SELECT DayOfWeek, count(*) AS c FROM file('ontime_parquet_a7070b00_458b_11ee_9394_5d3e96bc1319.parquet') WHERE Year>=2000 AND Year<=2008 GROUP BY DayOfWeek ORDER BY c DESC;","SELECT DayOfWeek, COUNT(*) AS c FROM ""/data1/ontime_parquet_a7070b00_458b_11ee_9394_5d3e96bc1319.parquet"" WHERE Year >= 2000 AND Year <= 2008 GROUP BY DayOfWeek ORDER BY c DESC;","[0.5125126838684082, 0.5345957279205322, 0.5324397087097168]","[0.31975221633911133, 0.30727481842041016, 0.3192718029022217]"
query_3,23.7.4.5,0.8.1,0.9583704471588135,0.5390961170196533,"SELECT Origin, count(*) AS c FROM file('ontime_parquet_a7070b00_458b_11ee_9394_5d3e96bc1319.parquet') WHERE DepDelay>10 AND Year>=2000 AND Year<=2008 GROUP BY Origin ORDER BY c DESC LIMIT 10;","SELECT Origin, COUNT(*) AS c FROM ""/data1/ontime_parquet_a7070b00_458b_11ee_9394_5d3e96bc1319.parquet"" WHERE DepDelay > 10 AND Year >= 2000 AND Year <= 2008 GROUP BY Origin ORDER BY c DESC LIMIT 10;","[1.0428698062896729, 1.0095467567443848, 0.9583704471588135]","[0.5238544940948486, 0.5556073188781738, 0.5390961170196533]"
query_4,23.7.4.5,0.8.1,0.7581398487091064,0.4235806465148926,"SELECT IATA_CODE_Reporting_Airline AS Carrier, count(*) FROM file('ontime_parquet_a7070b00_458b_11ee_9394_5d3e96bc1319.parquet') WHERE DepDelay>10 AND Year=2007 GROUP BY Carrier ORDER BY count(*) DESC;","SELECT IATA_CODE_Reporting_Airline AS Carrier, COUNT(*) AS count FROM ""/data1/ontime_parquet_a7070b00_458b_11ee_9394_5d3e96bc1319.parquet"" WHERE DepDelay > 10 AND Year = 2007 GROUP BY Carrier ORDER BY count DESC;","[0.7624046802520752, 0.695387601852417, 0.7581398487091064]","[0.4140341281890869, 0.3984041213989258, 0.4235806465148926]"
query_5,23.7.4.5,0.8.1,0.8338785171508789,0.3020491600036621,"SELECT IATA_CODE_Reporting_Airline AS Carrier, avg(DepDelay>10)*100 AS c3 FROM file('ontime_parquet_a7070b00_458b_11ee_9394_5d3e96bc1319.parquet') WHERE Year=2007 GROUP BY Carrier ORDER BY c3 DESC","SELECT IATA_CODE_Reporting_Airline AS Carrier, AVG(CAST(DepDelay > 10 AS DECIMAL) * 100) AS c3 FROM ""/data1/ontime_parquet_a7070b00_458b_11ee_9394_5d3e96bc1319.parquet"" WHERE Year = 2007 GROUP BY Carrier ORDER BY c3 DESC;","[0.7913119792938232, 0.9644708633422852, 0.8338785171508789]","[0.28705549240112305, 0.29085779190063477, 0.3020491600036621]"
query_6,23.7.4.5,0.8.1,1.1259489059448242,0.5192711353302002,"SELECT IATA_CODE_Reporting_Airline AS Carrier, avg(DepDelay>10)*100 AS c3 FROM file('ontime_parquet_a7070b00_458b_11ee_9394_5d3e96bc1319.parquet') WHERE Year>=2000 AND Year<=2008 GROUP BY Carrier ORDER BY c3 DESC;","SELECT IATA_CODE_Reporting_Airline AS Carrier, AVG(CAST(DepDelay > 10 AS DECIMAL) * 100) AS c3 FROM ""/data1/ontime_parquet_a7070b00_458b_11ee_9394_5d3e96bc1319.parquet"" WHERE Year >= 2000 AND Year <= 2008 GROUP BY Carrier ORDER BY c3 DESC;","[1.0702571868896484, 1.0852415561676025, 1.1259489059448242]","[0.5257818698883057, 0.5194501876831055, 0.5192711353302002]"
query_7,23.7.4.5,0.8.1,0.7850842475891113,0.6470091342926025,"SELECT Year, avg(DepDelay>10)*100 FROM file('ontime_parquet_a7070b00_458b_11ee_9394_5d3e96bc1319.parquet') GROUP BY Year ORDER BY Year;","SELECT Year, AVG(CAST(DepDelay > 10 AS DECIMAL) * 100) FROM ""/data1/ontime_parquet_a7070b00_458b_11ee_9394_5d3e96bc1319.parquet"" GROUP BY Year ORDER BY Year;","[0.7838671207427979, 0.7709367275238037, 0.7850842475891113]","[0.674579381942749, 0.6653928756713867, 0.6470091342926025]"
query_8,23.7.4.5,0.8.1,2.036919593811035,0.7556278705596924,"SELECT DestCityName, uniqExact(OriginCityName) AS u FROM file('ontime_parquet_a7070b00_458b_11ee_9394_5d3e96bc1319.parquet') WHERE Year >= 2000 and Year <= 2010 GROUP BY DestCityName ORDER BY u DESC LIMIT 10;","SELECT DestCityName, COUNT(DISTINCT OriginCityName) AS u FROM ""/data1/ontime_parquet_a7070b00_458b_11ee_9394_5d3e96bc1319.parquet"" WHERE Year >= 2000 AND Year <= 2010 GROUP BY DestCityName ORDER BY u DESC LIMIT 10;","[2.0212745666503906, 2.0786304473876953, 2.036919593811035]","[0.7545547485351562, 0.7556684017181396, 0.7556278705596924]"
query_9,23.7.4.5,0.8.1,0.5004715919494629,0.3641984462738037,"SELECT Year, count(*) AS c1 FROM file('ontime_parquet_a7070b00_458b_11ee_9394_5d3e96bc1319.parquet') GROUP BY Year;","SELECT Year, COUNT(*) AS c1 FROM ""/data1/ontime_parquet_a7070b00_458b_11ee_9394_5d3e96bc1319.parquet"" GROUP BY Year;","[0.4930460453033447, 0.4823601245880127, 0.5004715919494629]","[0.37778759002685547, 0.35561299324035645, 0.3641984462738037]"
