file,condition,filter,rows_skipped,elapsed
few_and_large_row_groups.parquet,WHERE t2 = 'third-99999',with_bloom_filter,90000000,1.512819786
few_and_large_row_groups.parquet,WHERE t2 = 'third-99999',without_bloom_filter,90000000,1.553979346
few_and_large_row_groups.parquet,WHERE t2 = 'third-90000',with_bloom_filter,90000000,1.471171615
few_and_large_row_groups.parquet,WHERE t2 = 'third-90000',without_bloom_filter,90000000,1.516952015
few_and_large_row_groups.parquet,WHERE t2 = 'third-80000',with_bloom_filter,90000000,1.634471979
few_and_large_row_groups.parquet,WHERE t2 = 'third-80000',without_bloom_filter,90000000,1.580895617
few_and_large_row_groups.parquet,WHERE t2 = 'third-70000',with_bloom_filter,90000000,1.573008021
few_and_large_row_groups.parquet,WHERE t2 = 'third-70000',without_bloom_filter,90000000,1.555548261
few_and_large_row_groups.parquet,WHERE t2 = 'third-60000',with_bloom_filter,90000000,1.567445442
few_and_large_row_groups.parquet,WHERE t2 = 'third-60000',without_bloom_filter,90000000,1.603699842
few_and_large_row_groups.parquet,WHERE t2 = 'third-50000',with_bloom_filter,90000000,1.638833986
few_and_large_row_groups.parquet,WHERE t2 = 'third-50000',without_bloom_filter,90000000,1.605681447
few_and_large_row_groups.parquet,WHERE t2 = 'third-40000',with_bloom_filter,90000000,1.504687816
few_and_large_row_groups.parquet,WHERE t2 = 'third-40000',without_bloom_filter,90000000,1.503390723
few_and_large_row_groups.parquet,WHERE t2 = 'third-30000',with_bloom_filter,90000000,1.502469728
few_and_large_row_groups.parquet,WHERE t2 = 'third-30000',without_bloom_filter,90000000,1.48416796
few_and_large_row_groups.parquet,WHERE t2 = 'third-20000',with_bloom_filter,90000000,1.499493022
few_and_large_row_groups.parquet,WHERE t2 = 'third-20000',without_bloom_filter,90000000,1.518158243
few_and_large_row_groups.parquet,WHERE t2 = 'third-10000',with_bloom_filter,90000000,1.606211474
few_and_large_row_groups.parquet,WHERE t2 = 'third-10000',without_bloom_filter,90000000,1.61733677
few_and_large_row_groups.parquet,WHERE t2 = 'third-00000',with_bloom_filter,90000000,1.599820577
few_and_large_row_groups.parquet,WHERE t2 = 'third-00000',without_bloom_filter,90000000,1.519848122
few_and_small_row_groups.parquet,WHERE t2 = 'third-99999',with_bloom_filter,0,0.003425156
few_and_small_row_groups.parquet,WHERE t2 = 'third-99999',without_bloom_filter,900,0.003083074
few_and_small_row_groups.parquet,WHERE t2 = 'third-90000',with_bloom_filter,0,0.002410012
few_and_small_row_groups.parquet,WHERE t2 = 'third-90000',without_bloom_filter,900,0.003011067
few_and_small_row_groups.parquet,WHERE t2 = 'third-80000',with_bloom_filter,0,0.002455828
few_and_small_row_groups.parquet,WHERE t2 = 'third-80000',without_bloom_filter,900,0.009945257
few_and_small_row_groups.parquet,WHERE t2 = 'third-70000',with_bloom_filter,0,0.002365803
few_and_small_row_groups.parquet,WHERE t2 = 'third-70000',without_bloom_filter,900,0.002715429
few_and_small_row_groups.parquet,WHERE t2 = 'third-60000',with_bloom_filter,0,0.010283151
few_and_small_row_groups.parquet,WHERE t2 = 'third-60000',without_bloom_filter,900,0.002628266
few_and_small_row_groups.parquet,WHERE t2 = 'third-50000',with_bloom_filter,0,0.010598623
few_and_small_row_groups.parquet,WHERE t2 = 'third-50000',without_bloom_filter,900,0.002600121
few_and_small_row_groups.parquet,WHERE t2 = 'third-40000',with_bloom_filter,0,0.002358191
few_and_small_row_groups.parquet,WHERE t2 = 'third-40000',without_bloom_filter,900,0.002625892
few_and_small_row_groups.parquet,WHERE t2 = 'third-30000',with_bloom_filter,0,0.002506184
few_and_small_row_groups.parquet,WHERE t2 = 'third-30000',without_bloom_filter,900,0.002710889
few_and_small_row_groups.parquet,WHERE t2 = 'third-20000',with_bloom_filter,0,0.003344978
few_and_small_row_groups.parquet,WHERE t2 = 'third-20000',without_bloom_filter,900,0.002734077
few_and_small_row_groups.parquet,WHERE t2 = 'third-10000',with_bloom_filter,0,0.002431942
few_and_small_row_groups.parquet,WHERE t2 = 'third-10000',without_bloom_filter,900,0.002821727
few_and_small_row_groups.parquet,WHERE t2 = 'third-00000',with_bloom_filter,0,0.002730584
few_and_small_row_groups.parquet,WHERE t2 = 'third-00000',without_bloom_filter,900,0.002819772
10M_rows_10_row_groups.parquet,WHERE t2 = 'third-99999',with_bloom_filter,0,0.003009949
