Number of rows:,98997497,Test Environment:,
Query,ClickHouse version,ClickHouse Query Runtime,ClickHouse Query Description,ClickHouse sample 0,ClickHouse sample 1,ClickHouse sample 2,Query DuckDB,DuckDB version,DuckDB Query Runtime,DuckDB Query Description,DuckDB sample 0,DuckDB sample 1,DuckDB sample 2
query_0,23.10.5.20-alpine,0.07014155387878418,SELECT COUNT(*) FROM file(hits_parquet_c3bde864_935d_11ee_9cb0_3b79d3d65d52.parquet);,0.07014155387878418,0.08636093139648438,0.10173869132995605,query_0,0.9.2,0.11324334144592285,SELECT COUNT(*) FROM '/data1/hits_parquet_c3bde864_935d_11ee_9cb0_3b79d3d65d52.parquet';,0.3528776168823242,0.12037301063537598,0.11324334144592285
query_1,23.10.5.20-alpine,0.23871850967407227,SELECT COUNT(*) FROM file(hits_parquet_c3bde864_935d_11ee_9cb0_3b79d3d65d52.parquet) WHERE AdvEngineID <> 0;,0.27138638496398926,0.2698945999145508,0.23871850967407227,query_1,0.9.2,0.12293148040771484,SELECT COUNT(*) FROM '/data1/hits_parquet_c3bde864_935d_11ee_9cb0_3b79d3d65d52.parquet' WHERE AdvEngineID <> 0;,0.14189910888671875,0.12341046333312988,0.12293148040771484
query_2,23.10.5.20-alpine,0.2595949172973633,"SELECT SUM(AdvEngineID), COUNT(*), AVG(ResolutionWidth) FROM file(hits_parquet_c3bde864_935d_11ee_9cb0_3b79d3d65d52.parquet);",0.26970601081848145,0.2595949172973633,0.26795482635498047,query_2,0.9.2,0.1471397876739502,"SELECT SUM(AdvEngineID), COUNT(*), AVG(ResolutionWidth) FROM '/data1/hits_parquet_c3bde864_935d_11ee_9cb0_3b79d3d65d52.parquet';",0.15015912055969238,0.1471397876739502,0.14964580535888672
query_3,23.10.5.20-alpine,0.29442262649536133,SELECT AVG(UserID) FROM file(hits_parquet_c3bde864_935d_11ee_9cb0_3b79d3d65d52.parquet);,0.29442262649536133,0.3047811985015869,0.2963600158691406,query_3,0.9.2,0.17345833778381348,SELECT AVG(UserID) FROM '/data1/hits_parquet_c3bde864_935d_11ee_9cb0_3b79d3d65d52.parquet';,0.17415237426757812,0.17529010772705078,0.17345833778381348
query_4,23.10.5.20-alpine,0.5360672473907471,SELECT COUNT(DISTINCT UserID) FROM file(hits_parquet_c3bde864_935d_11ee_9cb0_3b79d3d65d52.parquet);,0.6555173397064209,0.5360672473907471,0.57204270362854,query_4,0.9.2,0.591355562210083,SELECT COUNT(DISTINCT UserID) FROM '/data1/hits_parquet_c3bde864_935d_11ee_9cb0_3b79d3d65d52.parquet';,0.591355562210083,0.6242268085479736,0.6520323753356934
query_5,23.10.5.20-alpine,0.8988547325134277,SELECT COUNT(DISTINCT SearchPhrase) FROM file(hits_parquet_c3bde864_935d_11ee_9cb0_3b79d3d65d52.parquet);,0.911369800567627,0.9207751750946045,0.8988547325134277,query_5,0.9.2,0.7911076545715332,SELECT COUNT(DISTINCT SearchPhrase) FROM '/data1/hits_parquet_c3bde864_935d_11ee_9cb0_3b79d3d65d52.parquet';,0.7933592796325684,0.7911076545715332,0.7932991981506348
query_6,23.10.5.20-alpine,0.25548362731933594,"SELECT MIN(EventDate), MAX(EventDate) FROM file(hits_parquet_c3bde864_935d_11ee_9cb0_3b79d3d65d52.parquet);",0.25548362731933594,0.2684817314147949,0.26304030418395996,query_6,0.9.2,0.12059211730957031,"SELECT MIN(EventDate), MAX(EventDate) FROM '/data1/hits_parquet_c3bde864_935d_11ee_9cb0_3b79d3d65d52.parquet';",0.12721729278564453,0.12357783317565918,0.12059211730957031
query_7,23.10.5.20-alpine,0.25178098678588867,"SELECT AdvEngineID, COUNT(*) FROM file(hits_parquet_c3bde864_935d_11ee_9cb0_3b79d3d65d52.parquet) WHERE AdvEngineID <> 0 GROUP BY AdvEngineID ORDER BY COUNT(*) DESC;",0.26732563972473145,0.2796781063079834,0.25178098678588867,query_7,0.9.2,0.12313318252563477,"SELECT AdvEngineID, COUNT(*) FROM '/data1/hits_parquet_c3bde864_935d_11ee_9cb0_3b79d3d65d52.parquet' WHERE AdvEngineID <> 0 GROUP BY AdvEngineID ORDER BY COUNT(*) DESC;",0.12313318252563477,0.126267671585083,0.13093876838684082
query_8,23.10.5.20-alpine,0.8727848529815674,"SELECT RegionID, COUNT(DISTINCT UserID) AS u FROM file(hits_parquet_c3bde864_935d_11ee_9cb0_3b79d3d65d52.parquet) GROUP BY RegionID ORDER BY u DESC LIMIT 10;",0.8727848529815674,0.8759782314300537,0.9245657920837402,query_8,0.9.2,0.6876447200775146,"SELECT RegionID, COUNT(DISTINCT UserID) AS u FROM '/data1/hits_parquet_c3bde864_935d_11ee_9cb0_3b79d3d65d52.parquet' GROUP BY RegionID ORDER BY u DESC LIMIT 10;",0.6909050941467285,0.6876447200775146,0.6985552310943604
query_9,23.10.5.20-alpine,1.060654640197754,"SELECT RegionID, SUM(AdvEngineID), COUNT(*) AS c, AVG(ResolutionWidth), COUNT(DISTINCT UserID) FROM file(hits_parquet_c3bde864_935d_11ee_9cb0_3b79d3d65d52.parquet) GROUP BY RegionID ORDER BY c DESC LIMIT 10;",1.0841968059539795,1.060654640197754,1.1136353015899658,query_9,0.9.2,0.8834805488586426,"SELECT RegionID, SUM(AdvEngineID), COUNT(*) AS c, AVG(ResolutionWidth), COUNT(DISTINCT UserID) FROM '/data1/hits_parquet_c3bde864_935d_11ee_9cb0_3b79d3d65d52.parquet' GROUP BY RegionID ORDER BY c DESC LIMIT 10;",0.8912792205810547,0.8883500099182129,0.8834805488586426
query_10,23.10.5.20-alpine,0.5224864482879639,"SELECT MobilePhoneModel, COUNT(DISTINCT UserID) AS u FROM file(hits_parquet_c3bde864_935d_11ee_9cb0_3b79d3d65d52.parquet) WHERE MobilePhoneModel <> '' GROUP BY MobilePhoneModel ORDER BY u DESC LIMIT 10;",0.5361342430114746,0.5224864482879639,0.5616953372955322,query_10,0.9.2,0.2728536128997803,"SELECT MobilePhoneModel, COUNT(DISTINCT UserID) AS u FROM '/data1/hits_parquet_c3bde864_935d_11ee_9cb0_3b79d3d65d52.parquet' WHERE MobilePhoneModel <> '' GROUP BY MobilePhoneModel ORDER BY u DESC LIMIT 10;",0.2891538143157959,0.28550124168395996,0.2728536128997803
