Number of rows:,98997497,Test Environment:,
Query,ClickHouse version,ClickHouse Query Runtime,ClickHouse Query Description,ClickHouse sample 0,ClickHouse sample 1,ClickHouse sample 2,Query DuckDB,DuckDB version,DuckDB Query Runtime,DuckDB Query Description,DuckDB sample 0,DuckDB sample 1,DuckDB sample 2
query_0,23.11.1.2711-alpine,0.09182620048522949,SELECT COUNT(*) FROM file(hits_parquet_49c6d592_99cb_11ee_9042_dfb3f6149fdb.parquet);,0.11583447456359863,0.09182620048522949,0.14748024940490723,query_0,0.9.2,0.1925966739654541,SELECT COUNT(*) FROM '/data1/hits_parquet_49c6d592_99cb_11ee_9042_dfb3f6149fdb.parquet';,0.5275135040283203,0.20081257820129395,0.1925966739654541
query_1,23.11.1.2711-alpine,0.3464953899383545,SELECT COUNT(*) FROM file(hits_parquet_49c6d592_99cb_11ee_9042_dfb3f6149fdb.parquet) WHERE AdvEngineID <> 0;,0.40720367431640625,0.3464953899383545,0.3553619384765625,query_1,0.9.2,0.20256567001342773,SELECT COUNT(*) FROM '/data1/hits_parquet_49c6d592_99cb_11ee_9042_dfb3f6149fdb.parquet' WHERE AdvEngineID <> 0;,0.2198195457458496,0.2073981761932373,0.20256567001342773
query_2,23.11.1.2711-alpine,0.37672924995422363,"SELECT SUM(AdvEngineID), COUNT(*), AVG(ResolutionWidth) FROM file(hits_parquet_49c6d592_99cb_11ee_9042_dfb3f6149fdb.parquet);",0.38150548934936523,0.37672924995422363,0.4085209369659424,query_2,0.9.2,0.2146461009979248,"SELECT SUM(AdvEngineID), COUNT(*), AVG(ResolutionWidth) FROM '/data1/hits_parquet_49c6d592_99cb_11ee_9042_dfb3f6149fdb.parquet';",0.261491060256958,0.2146461009979248,0.25061607360839844
query_3,23.11.1.2711-alpine,0.419339656829834,SELECT AVG(UserID) FROM file(hits_parquet_49c6d592_99cb_11ee_9042_dfb3f6149fdb.parquet);,0.5367839336395264,0.4812757968902588,0.419339656829834,query_3,0.9.2,0.2645909786224365,SELECT AVG(UserID) FROM '/data1/hits_parquet_49c6d592_99cb_11ee_9042_dfb3f6149fdb.parquet';,0.2749631404876709,0.2645909786224365,0.2657628059387207
query_4,23.11.1.2711-alpine,0.8762063980102539,SELECT COUNT(DISTINCT UserID) FROM file(hits_parquet_49c6d592_99cb_11ee_9042_dfb3f6149fdb.parquet);,0.8823065757751465,0.9723787307739258,0.8762063980102539,query_4,0.9.2,0.7902181148529053,SELECT COUNT(DISTINCT UserID) FROM '/data1/hits_parquet_49c6d592_99cb_11ee_9042_dfb3f6149fdb.parquet';,0.8680844306945801,0.7902181148529053,0.8473148345947266
query_5,23.11.1.2711-alpine,1.1743438243865967,SELECT COUNT(DISTINCT SearchPhrase) FROM file(hits_parquet_49c6d592_99cb_11ee_9042_dfb3f6149fdb.parquet);,1.2966678142547607,1.1859321594238281,1.1743438243865967,query_5,0.9.2,1.0332486629486084,SELECT COUNT(DISTINCT SearchPhrase) FROM '/data1/hits_parquet_49c6d592_99cb_11ee_9042_dfb3f6149fdb.parquet';,1.044848918914795,1.0332486629486084,1.0364892482757568
query_6,23.11.1.2711-alpine,0.37259936332702637,"SELECT MIN(EventDate), MAX(EventDate) FROM file(hits_parquet_49c6d592_99cb_11ee_9042_dfb3f6149fdb.parquet);",0.37259936332702637,0.4548354148864746,0.5304586887359619,query_6,0.9.2,0.19389057159423828,"SELECT MIN(EventDate), MAX(EventDate) FROM '/data1/hits_parquet_49c6d592_99cb_11ee_9042_dfb3f6149fdb.parquet';",0.21825814247131348,0.19389057159423828,0.21471190452575684
query_7,23.11.1.2711-alpine,0.45446038246154785,"SELECT AdvEngineID, COUNT(*) FROM file(hits_parquet_49c6d592_99cb_11ee_9042_dfb3f6149fdb.parquet) WHERE AdvEngineID <> 0 GROUP BY AdvEngineID ORDER BY COUNT(*) DESC;",0.45446038246154785,0.4675438404083252,0.4683384895324707,query_7,0.9.2,0.17532801628112793,"SELECT AdvEngineID, COUNT(*) FROM '/data1/hits_parquet_49c6d592_99cb_11ee_9042_dfb3f6149fdb.parquet' WHERE AdvEngineID <> 0 GROUP BY AdvEngineID ORDER BY COUNT(*) DESC;",0.2322227954864502,0.17532801628112793,0.18227696418762207
query_8,23.11.1.2711-alpine,1.2795648574829102,"SELECT RegionID, COUNT(DISTINCT UserID) AS u FROM file(hits_parquet_49c6d592_99cb_11ee_9042_dfb3f6149fdb.parquet) GROUP BY RegionID ORDER BY u DESC LIMIT 10;",1.379793643951416,1.302811861038208,1.2795648574829102,query_8,0.9.2,0.9281606674194336,"SELECT RegionID, COUNT(DISTINCT UserID) AS u FROM '/data1/hits_parquet_49c6d592_99cb_11ee_9042_dfb3f6149fdb.parquet' GROUP BY RegionID ORDER BY u DESC LIMIT 10;",0.9281606674194336,0.9493043422698975,0.9415559768676758
query_9,23.11.1.2711-alpine,1.577169418334961,"SELECT RegionID, SUM(AdvEngineID), COUNT(*) AS c, AVG(ResolutionWidth), COUNT(DISTINCT UserID) FROM file(hits_parquet_49c6d592_99cb_11ee_9042_dfb3f6149fdb.parquet) GROUP BY RegionID ORDER BY c DESC LIMIT 10;",1.6655242443084717,1.577169418334961,1.6281802654266357,query_9,0.9.2,1.0843982696533203,"SELECT RegionID, SUM(AdvEngineID), COUNT(*) AS c, AVG(ResolutionWidth), COUNT(DISTINCT UserID) FROM '/data1/hits_parquet_49c6d592_99cb_11ee_9042_dfb3f6149fdb.parquet' GROUP BY RegionID ORDER BY c DESC LIMIT 10;",1.0843982696533203,1.2068874835968018,1.1726806163787842
query_10,23.11.1.2711-alpine,0.7234306335449219,"SELECT MobilePhoneModel, COUNT(DISTINCT UserID) AS u FROM file(hits_parquet_49c6d592_99cb_11ee_9042_dfb3f6149fdb.parquet) WHERE MobilePhoneModel <> '' GROUP BY MobilePhoneModel ORDER BY u DESC LIMIT 10;",0.7234306335449219,0.8522992134094238,0.842212438583374,query_10,0.9.2,0.35414838790893555,"SELECT MobilePhoneModel, COUNT(DISTINCT UserID) AS u FROM '/data1/hits_parquet_49c6d592_99cb_11ee_9042_dfb3f6149fdb.parquet' WHERE MobilePhoneModel <> '' GROUP BY MobilePhoneModel ORDER BY u DESC LIMIT 10;",0.4372537136077881,0.35414838790893555,0.42291736602783203
