Number of rows:,98997497,Test Environment:,
Query,ClickHouse version,ClickHouse Query Runtime,ClickHouse Query Description,ClickHouse sample 0,ClickHouse sample 1,ClickHouse sample 2,Query DuckDB,DuckDB version,DuckDB Query Runtime,DuckDB Query Description,DuckDB sample 0,DuckDB sample 1,DuckDB sample 2
query_0,23.8.2.7,0.07611823081970215,SELECT COUNT(*) FROM file(hits_parquet_8d18d12d_4cc2_11ee_924e_01a4aa584ed2.parquet);,0.07611823081970215,0.0781097412109375,0.12628865242004395,query_0,0.8.1,0.12017011642456055,SELECT COUNT(*) FROM '/data1/hits_parquet_8d18d12d_4cc2_11ee_924e_01a4aa584ed2.parquet';,0.845634937286377,0.13165712356567383,0.12017011642456055
query_1,23.8.2.7,0.28435540199279785,SELECT COUNT(*) FROM file(hits_parquet_8d18d12d_4cc2_11ee_924e_01a4aa584ed2.parquet) WHERE AdvEngineID <> 0;,0.2991602420806885,0.28435540199279785,0.2849698066711426,query_1,0.8.1,0.1381387710571289,SELECT COUNT(*) FROM '/data1/hits_parquet_8d18d12d_4cc2_11ee_924e_01a4aa584ed2.parquet' WHERE AdvEngineID <> 0;,0.14705491065979004,0.1404876708984375,0.1381387710571289
query_2,23.8.2.7,0.2998368740081787,"SELECT SUM(AdvEngineID), COUNT(*), AVG(ResolutionWidth) FROM file(hits_parquet_8d18d12d_4cc2_11ee_924e_01a4aa584ed2.parquet);",0.3002970218658447,0.3037290573120117,0.2998368740081787,query_2,0.8.1,0.1796870231628418,"SELECT SUM(AdvEngineID), COUNT(*), AVG(ResolutionWidth) FROM '/data1/hits_parquet_8d18d12d_4cc2_11ee_924e_01a4aa584ed2.parquet';",0.21153616905212402,0.1807079315185547,0.1796870231628418
query_3,23.8.2.7,0.2738187313079834,SELECT AVG(UserID) FROM file(hits_parquet_8d18d12d_4cc2_11ee_924e_01a4aa584ed2.parquet);,0.30042433738708496,0.3073453903198242,0.2738187313079834,query_3,0.8.1,0.18392395973205566,SELECT AVG(UserID) FROM '/data1/hits_parquet_8d18d12d_4cc2_11ee_924e_01a4aa584ed2.parquet';,0.18418431282043457,0.18392395973205566,0.1844482421875
query_4,23.8.2.7,0.5925347805023193,SELECT COUNT(DISTINCT UserID) FROM file(hits_parquet_8d18d12d_4cc2_11ee_924e_01a4aa584ed2.parquet);,0.6913309097290039,0.6348316669464111,0.5925347805023193,query_4,0.8.1,1.1639559268951416,SELECT COUNT(DISTINCT UserID) FROM '/data1/hits_parquet_8d18d12d_4cc2_11ee_924e_01a4aa584ed2.parquet';,1.1639559268951416,1.1791789531707764,1.1725902557373047
query_5,23.8.2.7,0.9350404739379883,SELECT COUNT(DISTINCT SearchPhrase) FROM file(hits_parquet_8d18d12d_4cc2_11ee_924e_01a4aa584ed2.parquet);,1.0054962635040283,0.9831180572509766,0.9350404739379883,query_5,0.8.1,1.1607556343078613,SELECT COUNT(DISTINCT SearchPhrase) FROM '/data1/hits_parquet_8d18d12d_4cc2_11ee_924e_01a4aa584ed2.parquet';,1.3256328105926514,1.2406306266784668,1.1607556343078613
query_6,23.8.2.7,0.26781177520751953,"SELECT MIN(EventDate), MAX(EventDate) FROM file(hits_parquet_8d18d12d_4cc2_11ee_924e_01a4aa584ed2.parquet);",0.2873566150665283,0.26781177520751953,0.2753713130950928,query_6,0.8.1,0.1352081298828125,"SELECT MIN(EventDate), MAX(EventDate) FROM '/data1/hits_parquet_8d18d12d_4cc2_11ee_924e_01a4aa584ed2.parquet';",0.14145159721374512,0.1352081298828125,0.13968968391418457
query_7,23.8.2.7,0.27631211280822754,"SELECT AdvEngineID, COUNT(*) FROM file(hits_parquet_8d18d12d_4cc2_11ee_924e_01a4aa584ed2.parquet) WHERE AdvEngineID <> 0 GROUP BY AdvEngineID ORDER BY COUNT(*) DESC;",0.2882990837097168,0.27631211280822754,0.2880871295928955,query_7,0.8.1,0.13968873023986816,"SELECT AdvEngineID, COUNT(*) FROM '/data1/hits_parquet_8d18d12d_4cc2_11ee_924e_01a4aa584ed2.parquet' WHERE AdvEngineID <> 0 GROUP BY AdvEngineID ORDER BY COUNT(*) DESC;",0.14220690727233887,0.1410820484161377,0.13968873023986816
query_8,23.8.2.7,0.91864013671875,"SELECT RegionID, COUNT(DISTINCT UserID) AS u FROM file(hits_parquet_8d18d12d_4cc2_11ee_924e_01a4aa584ed2.parquet) GROUP BY RegionID ORDER BY u DESC LIMIT 10;",0.91864013671875,0.93534255027771,0.9234261512756348,query_8,0.8.1,1.2516655921936035,"SELECT RegionID, COUNT(DISTINCT UserID) AS u FROM '/data1/hits_parquet_8d18d12d_4cc2_11ee_924e_01a4aa584ed2.parquet' GROUP BY RegionID ORDER BY u DESC LIMIT 10;",1.2516655921936035,1.2890739440917969,1.337209939956665
query_9,23.8.2.7,1.048863410949707,"SELECT RegionID, SUM(AdvEngineID), COUNT(*) AS c, AVG(ResolutionWidth), COUNT(DISTINCT UserID) FROM file(hits_parquet_8d18d12d_4cc2_11ee_924e_01a4aa584ed2.parquet) GROUP BY RegionID ORDER BY c DESC LIMIT 10;",1.1230072975158691,1.048863410949707,1.0998549461364746,query_9,0.8.1,1.5366559028625488,"SELECT RegionID, SUM(AdvEngineID), COUNT(*) AS c, AVG(ResolutionWidth), COUNT(DISTINCT UserID) FROM '/data1/hits_parquet_8d18d12d_4cc2_11ee_924e_01a4aa584ed2.parquet' GROUP BY RegionID ORDER BY c DESC LIMIT 10;",1.5366559028625488,1.5439071655273438,1.5762598514556885
query_10,23.8.2.7,0.5646145343780518,"SELECT MobilePhoneModel, COUNT(DISTINCT UserID) AS u FROM file(hits_parquet_8d18d12d_4cc2_11ee_924e_01a4aa584ed2.parquet) WHERE MobilePhoneModel <> '' GROUP BY MobilePhoneModel ORDER BY u DESC LIMIT 10;",0.575829029083252,0.5794892311096191,0.5646145343780518,query_10,0.8.1,0.3765144348144531,"SELECT MobilePhoneModel, COUNT(DISTINCT UserID) AS u FROM '/data1/hits_parquet_8d18d12d_4cc2_11ee_924e_01a4aa584ed2.parquet' WHERE MobilePhoneModel <> '' GROUP BY MobilePhoneModel ORDER BY u DESC LIMIT 10;",0.39470624923706055,0.38760924339294434,0.3765144348144531
