Number of rows:,98997497,Test Environment:,
Query,ClickHouse version,ClickHouse Query Runtime,ClickHouse Query Description,ClickHouse sample 0,ClickHouse sample 1,ClickHouse sample 2,Query DuckDB,DuckDB version,DuckDB Query Runtime,DuckDB Query Description,DuckDB sample 0,DuckDB sample 1,DuckDB sample 2
query_0,23.9.1.1854-alpine,0.05982065200805664,SELECT COUNT(*) FROM file(hits_parquet_1760edbd_5ec3_11ee_924e_01a4aa584ed2.parquet);,0.0702674388885498,0.05982065200805664,0.11631631851196289,query_0,0.9.0,0.1288607120513916,SELECT COUNT(*) FROM '/data1/hits_parquet_1760edbd_5ec3_11ee_924e_01a4aa584ed2.parquet';,0.8040838241577148,0.1288607120513916,0.13501572608947754
query_1,23.9.1.1854-alpine,0.2703220844268799,SELECT COUNT(*) FROM file(hits_parquet_1760edbd_5ec3_11ee_924e_01a4aa584ed2.parquet) WHERE AdvEngineID <> 0;,0.3006632328033447,0.2703220844268799,0.27903127670288086,query_1,0.9.0,0.13071250915527344,SELECT COUNT(*) FROM '/data1/hits_parquet_1760edbd_5ec3_11ee_924e_01a4aa584ed2.parquet' WHERE AdvEngineID <> 0;,0.14052319526672363,0.14229416847229004,0.13071250915527344
query_2,23.9.1.1854-alpine,0.27995896339416504,"SELECT SUM(AdvEngineID), COUNT(*), AVG(ResolutionWidth) FROM file(hits_parquet_1760edbd_5ec3_11ee_924e_01a4aa584ed2.parquet);",0.283294677734375,0.27995896339416504,0.2802700996398926,query_2,0.9.0,0.1713714599609375,"SELECT SUM(AdvEngineID), COUNT(*), AVG(ResolutionWidth) FROM '/data1/hits_parquet_1760edbd_5ec3_11ee_924e_01a4aa584ed2.parquet';",0.18393683433532715,0.1713714599609375,0.1734907627105713
query_3,23.9.1.1854-alpine,0.28119397163391113,SELECT AVG(UserID) FROM file(hits_parquet_1760edbd_5ec3_11ee_924e_01a4aa584ed2.parquet);,0.3286783695220947,0.30129313468933105,0.28119397163391113,query_3,0.9.0,0.1794908046722412,SELECT AVG(UserID) FROM '/data1/hits_parquet_1760edbd_5ec3_11ee_924e_01a4aa584ed2.parquet';,0.1794908046722412,0.18963861465454102,0.19553923606872559
query_4,23.9.1.1854-alpine,0.522141695022583,SELECT COUNT(DISTINCT UserID) FROM file(hits_parquet_1760edbd_5ec3_11ee_924e_01a4aa584ed2.parquet);,0.6373515129089355,0.5284814834594727,0.522141695022583,query_4,0.9.0,1.0648274421691895,SELECT COUNT(DISTINCT UserID) FROM '/data1/hits_parquet_1760edbd_5ec3_11ee_924e_01a4aa584ed2.parquet';,1.0858595371246338,1.085472583770752,1.0648274421691895
query_5,23.9.1.1854-alpine,0.8747665882110596,SELECT COUNT(DISTINCT SearchPhrase) FROM file(hits_parquet_1760edbd_5ec3_11ee_924e_01a4aa584ed2.parquet);,0.939497709274292,0.8747665882110596,0.8771998882293701,query_5,0.9.0,1.1150240898132324,SELECT COUNT(DISTINCT SearchPhrase) FROM '/data1/hits_parquet_1760edbd_5ec3_11ee_924e_01a4aa584ed2.parquet';,1.1857926845550537,1.1273062229156494,1.1150240898132324
query_6,23.9.1.1854-alpine,0.23677563667297363,"SELECT MIN(EventDate), MAX(EventDate) FROM file(hits_parquet_1760edbd_5ec3_11ee_924e_01a4aa584ed2.parquet);",0.25979089736938477,0.23677563667297363,0.24246501922607422,query_6,0.9.0,0.12809467315673828,"SELECT MIN(EventDate), MAX(EventDate) FROM '/data1/hits_parquet_1760edbd_5ec3_11ee_924e_01a4aa584ed2.parquet';",0.1498720645904541,0.12993693351745605,0.12809467315673828
query_7,23.9.1.1854-alpine,0.24096298217773438,"SELECT AdvEngineID, COUNT(*) FROM file(hits_parquet_1760edbd_5ec3_11ee_924e_01a4aa584ed2.parquet) WHERE AdvEngineID <> 0 GROUP BY AdvEngineID ORDER BY COUNT(*) DESC;",0.25818777084350586,0.24669623374938965,0.24096298217773438,query_7,0.9.0,0.13071513175964355,"SELECT AdvEngineID, COUNT(*) FROM '/data1/hits_parquet_1760edbd_5ec3_11ee_924e_01a4aa584ed2.parquet' WHERE AdvEngineID <> 0 GROUP BY AdvEngineID ORDER BY COUNT(*) DESC;",0.13239359855651855,0.1393120288848877,0.13071513175964355
query_8,23.9.1.1854-alpine,0.8443126678466797,"SELECT RegionID, COUNT(DISTINCT UserID) AS u FROM file(hits_parquet_1760edbd_5ec3_11ee_924e_01a4aa584ed2.parquet) GROUP BY RegionID ORDER BY u DESC LIMIT 10;",0.8482437133789062,0.8443126678466797,0.9450194835662842,query_8,0.9.0,1.1555359363555908,"SELECT RegionID, COUNT(DISTINCT UserID) AS u FROM '/data1/hits_parquet_1760edbd_5ec3_11ee_924e_01a4aa584ed2.parquet' GROUP BY RegionID ORDER BY u DESC LIMIT 10;",1.1582505702972412,1.1840367317199707,1.1555359363555908
query_9,23.9.1.1854-alpine,0.9798891544342041,"SELECT RegionID, SUM(AdvEngineID), COUNT(*) AS c, AVG(ResolutionWidth), COUNT(DISTINCT UserID) FROM file(hits_parquet_1760edbd_5ec3_11ee_924e_01a4aa584ed2.parquet) GROUP BY RegionID ORDER BY c DESC LIMIT 10;",1.0344722270965576,1.0337626934051514,0.9798891544342041,query_9,0.9.0,1.4234943389892578,"SELECT RegionID, SUM(AdvEngineID), COUNT(*) AS c, AVG(ResolutionWidth), COUNT(DISTINCT UserID) FROM '/data1/hits_parquet_1760edbd_5ec3_11ee_924e_01a4aa584ed2.parquet' GROUP BY RegionID ORDER BY c DESC LIMIT 10;",1.4349713325500488,1.4385948181152344,1.4234943389892578
query_10,23.9.1.1854-alpine,0.5245816707611084,"SELECT MobilePhoneModel, COUNT(DISTINCT UserID) AS u FROM file(hits_parquet_1760edbd_5ec3_11ee_924e_01a4aa584ed2.parquet) WHERE MobilePhoneModel <> '' GROUP BY MobilePhoneModel ORDER BY u DESC LIMIT 10;",0.5245816707611084,0.5272707939147949,0.5326097011566162,query_10,0.9.0,0.34972500801086426,"SELECT MobilePhoneModel, COUNT(DISTINCT UserID) AS u FROM '/data1/hits_parquet_1760edbd_5ec3_11ee_924e_01a4aa584ed2.parquet' WHERE MobilePhoneModel <> '' GROUP BY MobilePhoneModel ORDER BY u DESC LIMIT 10;",0.37597036361694336,0.34972500801086426,0.3660726547241211
