Number of rows:,204838008,Test Environment:,
Query,ClickHouse version,ClickHouse Query Runtime,ClickHouse Query Description,ClickHouse sample 0,ClickHouse sample 1,ClickHouse sample 2,Query DuckDB,DuckDB version,DuckDB Query Runtime,DuckDB Query Description,DuckDB sample 0,DuckDB sample 1,DuckDB sample 2
query_0,23.11.1.2711-alpine,0.8731534481048584,"SELECT avg(c1) FROM(SELECT Year, Month, count(*) AS c1 FROM file('ontime_parquet_2a8988cf_9a7b_11ee_8070_65293045c0d5.parquet') GROUP BY Year, Month ORDER BY Year ASC, Month ASC);",0.8731534481048584,0.9059476852416992,0.9545109272003174,query_0,0.9.2,0.30359697341918945,"SELECT avg(c1) FROM(SELECT Year, Month, count(*) AS c1 FROM ""/data1/ontime_parquet_2a8988cf_9a7b_11ee_8070_65293045c0d5.parquet"" GROUP BY Year, Month ORDER BY Year ASC, Month ASC);",0.6614530086517334,0.30359697341918945,0.32520103454589844
query_1,23.11.1.2711-alpine,0.7244930267333984,"SELECT DayOfWeek, count(*) AS c FROM file('ontime_parquet_2a8988cf_9a7b_11ee_8070_65293045c0d5.parquet') WHERE Year>=2000 AND Year<=2008 GROUP BY DayOfWeek ORDER BY c DESC;",0.7805757522583008,0.8077735900878906,0.7244930267333984,query_1,0.9.2,0.3087160587310791,"SELECT DayOfWeek, count(*) AS c FROM ""/data1/ontime_parquet_2a8988cf_9a7b_11ee_8070_65293045c0d5.parquet"" WHERE Year>=2000 AND Year<=2008 GROUP BY DayOfWeek ORDER BY c DESC;",0.3087160587310791,0.3119926452636719,0.3158152103424072
query_2,23.11.1.2711-alpine,0.6040854454040527,"SELECT DayOfWeek, count(*) AS c FROM file('ontime_parquet_2a8988cf_9a7b_11ee_8070_65293045c0d5.parquet') WHERE Year>=2000 AND Year<=2008 GROUP BY DayOfWeek ORDER BY c DESC;",0.7333347797393799,0.6040854454040527,0.7241957187652588,query_2,0.9.2,0.30977892875671387,"SELECT DayOfWeek, COUNT(*) AS c FROM ""/data1/ontime_parquet_2a8988cf_9a7b_11ee_8070_65293045c0d5.parquet"" WHERE Year >= 2000 AND Year <= 2008 GROUP BY DayOfWeek ORDER BY c DESC;",0.31642913818359375,0.32824182510375977,0.30977892875671387
query_3,23.11.1.2711-alpine,0.9281024932861328,"SELECT Origin, count(*) AS c FROM file('ontime_parquet_2a8988cf_9a7b_11ee_8070_65293045c0d5.parquet') WHERE DepDelay>10 AND Year>=2000 AND Year<=2008 GROUP BY Origin ORDER BY c DESC LIMIT 10;",1.0849196910858154,1.0280210971832275,0.9281024932861328,query_3,0.9.2,0.6045033931732178,"SELECT Origin, COUNT(*) AS c FROM ""/data1/ontime_parquet_2a8988cf_9a7b_11ee_8070_65293045c0d5.parquet"" WHERE DepDelay > 10 AND Year >= 2000 AND Year <= 2008 GROUP BY Origin ORDER BY c DESC LIMIT 10;",0.6051204204559326,0.6045033931732178,0.6145656108856201
query_4,23.11.1.2711-alpine,0.9184067249298096,"SELECT IATA_CODE_Reporting_Airline AS Carrier, count(*) FROM file('ontime_parquet_2a8988cf_9a7b_11ee_8070_65293045c0d5.parquet') WHERE DepDelay>10 AND Year=2007 GROUP BY Carrier ORDER BY count(*) DESC;",0.9184067249298096,1.111846685409546,1.1955931186676025,query_4,0.9.2,0.4469466209411621,"SELECT IATA_CODE_Reporting_Airline AS Carrier, COUNT(*) AS count FROM ""/data1/ontime_parquet_2a8988cf_9a7b_11ee_8070_65293045c0d5.parquet"" WHERE DepDelay > 10 AND Year = 2007 GROUP BY Carrier ORDER BY count DESC;",0.461641788482666,0.5019185543060303,0.4469466209411621
query_5,23.11.1.2711-alpine,1.0508229732513428,"SELECT IATA_CODE_Reporting_Airline AS Carrier, avg(DepDelay>10)*100 AS c3 FROM file('ontime_parquet_2a8988cf_9a7b_11ee_8070_65293045c0d5.parquet') WHERE Year=2007 GROUP BY Carrier ORDER BY c3 DESC",1.1152958869934082,1.0508229732513428,1.101954460144043,query_5,0.9.2,0.33377623558044434,"SELECT IATA_CODE_Reporting_Airline AS Carrier, AVG(CAST(DepDelay > 10 AS DECIMAL) * 100) AS c3 FROM ""/data1/ontime_parquet_2a8988cf_9a7b_11ee_8070_65293045c0d5.parquet"" WHERE Year = 2007 GROUP BY Carrier ORDER BY c3 DESC;",0.33959007263183594,0.33377623558044434,0.34862375259399414
query_6,23.11.1.2711-alpine,1.238755702972412,"SELECT IATA_CODE_Reporting_Airline AS Carrier, avg(DepDelay>10)*100 AS c3 FROM file('ontime_parquet_2a8988cf_9a7b_11ee_8070_65293045c0d5.parquet') WHERE Year>=2000 AND Year<=2008 GROUP BY Carrier ORDER BY c3 DESC;",1.3603293895721436,1.238755702972412,1.2870864868164062,query_6,0.9.2,0.5465166568756104,"SELECT IATA_CODE_Reporting_Airline AS Carrier, AVG(CAST(DepDelay > 10 AS DECIMAL) * 100) AS c3 FROM ""/data1/ontime_parquet_2a8988cf_9a7b_11ee_8070_65293045c0d5.parquet"" WHERE Year >= 2000 AND Year <= 2008 GROUP BY Carrier ORDER BY c3 DESC;",0.5465166568756104,0.5538120269775391,0.5720393657684326
query_7,23.11.1.2711-alpine,0.77567458152771,"SELECT Year, avg(DepDelay>10)*100 FROM file('ontime_parquet_2a8988cf_9a7b_11ee_8070_65293045c0d5.parquet') GROUP BY Year ORDER BY Year;",0.8768653869628906,0.8304283618927002,0.77567458152771,query_7,0.9.2,0.5094091892242432,"SELECT Year, AVG(CAST(DepDelay > 10 AS DECIMAL) * 100) FROM ""/data1/ontime_parquet_2a8988cf_9a7b_11ee_8070_65293045c0d5.parquet"" GROUP BY Year ORDER BY Year;",0.5686550140380859,0.5094091892242432,0.5534782409667969
query_8,23.11.1.2711-alpine,2.1138193607330322,"SELECT DestCityName, uniqExact(OriginCityName) AS u FROM file('ontime_parquet_2a8988cf_9a7b_11ee_8070_65293045c0d5.parquet') WHERE Year >= 2000 and Year <= 2010 GROUP BY DestCityName ORDER BY u DESC, DestCityName ASC LIMIT 10;",2.1138193607330322,2.1625237464904785,2.134471893310547,query_8,0.9.2,0.7720577716827393,"SELECT DestCityName, COUNT(DISTINCT OriginCityName) AS u FROM ""/data1/ontime_parquet_2a8988cf_9a7b_11ee_8070_65293045c0d5.parquet"" WHERE Year >= 2000 AND Year <= 2010 GROUP BY DestCityName ORDER BY u DESC, DestCityName ASC LIMIT 10;;",0.823758602142334,0.7720577716827393,0.8066082000732422
query_9,23.11.1.2711-alpine,0.6354079246520996,"SELECT Year, count(*) AS c1 FROM file('ontime_parquet_2a8988cf_9a7b_11ee_8070_65293045c0d5.parquet') GROUP BY Year ORDER BY Year ASC;",0.6773419380187988,0.6354079246520996,0.6684131622314453,query_9,0.9.2,0.28731513023376465,"SELECT Year, COUNT(*) AS c1 FROM ""/data1/ontime_parquet_2a8988cf_9a7b_11ee_8070_65293045c0d5.parquet"" GROUP BY Year ORDER BY Year ASC;",0.2984492778778076,0.28731513023376465,0.33536362648010254
