Number of rows:,204838008,Test Environment:,
Query,ClickHouse version,ClickHouse Query Runtime,ClickHouse Query Description,ClickHouse sample 0,ClickHouse sample 1,ClickHouse sample 2,Query DuckDB,DuckDB version,DuckDB Query Runtime,DuckDB Query Description,DuckDB sample 0,DuckDB sample 1,DuckDB sample 2
query_0,23.7.4.5,0.7648053169250488,"SELECT avg(c1) FROM(SELECT Year, Month, count(*) AS c1 FROM file(ontime_parquet_72eaa055_4c14_11ee_924e_01a4aa584ed2.parquet) GROUP BY Year, Month);",0.7856247425079346,0.7459394931793213,0.7648053169250488,query_0,0.8.1,0.5440394878387451,"SELECT avg(c1) FROM(SELECT Year, Month, count(*) AS c1 FROM ""/data1/ontime_parquet_72eaa055_4c14_11ee_924e_01a4aa584ed2.parquet"" GROUP BY Year, Month);",1.2736461162567139,0.5473775863647461,0.5440394878387451
query_1,23.7.4.5,0.5004370212554932,"SELECT DayOfWeek, count(*) AS c FROM file(ontime_parquet_72eaa055_4c14_11ee_924e_01a4aa584ed2.parquet) WHERE Year>=2000 AND Year<=2008 GROUP BY DayOfWeek ORDER BY c DESC;",0.5424923896789551,0.5099401473999023,0.5004370212554932,query_1,0.8.1,0.35193395614624023,"SELECT DayOfWeek, count(*) AS c FROM ""/data1/ontime_parquet_72eaa055_4c14_11ee_924e_01a4aa584ed2.parquet"" WHERE Year>=2000 AND Year<=2008 GROUP BY DayOfWeek ORDER BY c DESC;",0.3568294048309326,0.351269006729126,0.35193395614624023
query_2,23.7.4.5,0.5347731113433838,"SELECT DayOfWeek, count(*) AS c FROM file('ontime_parquet_72eaa055_4c14_11ee_924e_01a4aa584ed2.parquet') WHERE Year>=2000 AND Year<=2008 GROUP BY DayOfWeek ORDER BY c DESC;",0.5058989524841309,0.5277633666992188,0.5347731113433838,query_2,0.8.1,0.3461334705352783,"SELECT DayOfWeek, COUNT(*) AS c FROM ""/data1/ontime_parquet_72eaa055_4c14_11ee_924e_01a4aa584ed2.parquet"" WHERE Year >= 2000 AND Year <= 2008 GROUP BY DayOfWeek ORDER BY c DESC;",0.362044095993042,0.38037586212158203,0.3461334705352783
query_3,23.7.4.5,0.9330446720123291,"SELECT Origin, count(*) AS c FROM file('ontime_parquet_72eaa055_4c14_11ee_924e_01a4aa584ed2.parquet') WHERE DepDelay>10 AND Year>=2000 AND Year<=2008 GROUP BY Origin ORDER BY c DESC LIMIT 10;",0.9241721630096436,0.9715311527252197,0.9330446720123291,query_3,0.8.1,0.596994161605835,"SELECT Origin, COUNT(*) AS c FROM ""/data1/ontime_parquet_72eaa055_4c14_11ee_924e_01a4aa584ed2.parquet"" WHERE DepDelay > 10 AND Year >= 2000 AND Year <= 2008 GROUP BY Origin ORDER BY c DESC LIMIT 10;",0.5859560966491699,0.5672299861907959,0.596994161605835
query_4,23.7.4.5,0.9828228950500488,"SELECT IATA_CODE_Reporting_Airline AS Carrier, count(*) FROM file('ontime_parquet_72eaa055_4c14_11ee_924e_01a4aa584ed2.parquet') WHERE DepDelay>10 AND Year=2007 GROUP BY Carrier ORDER BY count(*) DESC;",0.9555423259735107,1.0924267768859863,0.9828228950500488,query_4,0.8.1,0.3987874984741211,"SELECT IATA_CODE_Reporting_Airline AS Carrier, COUNT(*) AS count FROM ""/data1/ontime_parquet_72eaa055_4c14_11ee_924e_01a4aa584ed2.parquet"" WHERE DepDelay > 10 AND Year = 2007 GROUP BY Carrier ORDER BY count DESC;",0.4433610439300537,0.41759824752807617,0.3987874984741211
query_5,23.7.4.5,1.0055711269378662,"SELECT IATA_CODE_Reporting_Airline AS Carrier, avg(DepDelay>10)*100 AS c3 FROM file('ontime_parquet_72eaa055_4c14_11ee_924e_01a4aa584ed2.parquet') WHERE Year=2007 GROUP BY Carrier ORDER BY c3 DESC",0.8933391571044922,0.9158704280853271,1.0055711269378662,query_5,0.8.1,0.31475400924682617,"SELECT IATA_CODE_Reporting_Airline AS Carrier, AVG(CAST(DepDelay > 10 AS DECIMAL) * 100) AS c3 FROM ""/data1/ontime_parquet_72eaa055_4c14_11ee_924e_01a4aa584ed2.parquet"" WHERE Year = 2007 GROUP BY Carrier ORDER BY c3 DESC;",0.29888153076171875,0.30622220039367676,0.31475400924682617
query_6,23.7.4.5,1.145763635635376,"SELECT IATA_CODE_Reporting_Airline AS Carrier, avg(DepDelay>10)*100 AS c3 FROM file('ontime_parquet_72eaa055_4c14_11ee_924e_01a4aa584ed2.parquet') WHERE Year>=2000 AND Year<=2008 GROUP BY Carrier ORDER BY c3 DESC;",1.1042377948760986,1.1213128566741943,1.145763635635376,query_6,0.8.1,0.576408863067627,"SELECT IATA_CODE_Reporting_Airline AS Carrier, AVG(CAST(DepDelay > 10 AS DECIMAL) * 100) AS c3 FROM ""/data1/ontime_parquet_72eaa055_4c14_11ee_924e_01a4aa584ed2.parquet"" WHERE Year >= 2000 AND Year <= 2008 GROUP BY Carrier ORDER BY c3 DESC;",0.592010498046875,0.5921690464019775,0.576408863067627
query_7,23.7.4.5,0.6544897556304932,"SELECT Year, avg(DepDelay>10)*100 FROM file('ontime_parquet_72eaa055_4c14_11ee_924e_01a4aa584ed2.parquet') GROUP BY Year ORDER BY Year;",0.6928715705871582,0.6646318435668945,0.6544897556304932,query_7,0.8.1,0.7516510486602783,"SELECT Year, AVG(CAST(DepDelay > 10 AS DECIMAL) * 100) FROM ""/data1/ontime_parquet_72eaa055_4c14_11ee_924e_01a4aa584ed2.parquet"" GROUP BY Year ORDER BY Year;",0.7622926235198975,0.7788264751434326,0.7516510486602783
query_8,23.7.4.5,1.997474193572998,"SELECT DestCityName, uniqExact(OriginCityName) AS u FROM file('ontime_parquet_72eaa055_4c14_11ee_924e_01a4aa584ed2.parquet') WHERE Year >= 2000 and Year <= 2010 GROUP BY DestCityName ORDER BY u DESC LIMIT 10;",1.890995740890503,1.9611799716949463,1.997474193572998,query_8,0.8.1,0.908836841583252,"SELECT DestCityName, COUNT(DISTINCT OriginCityName) AS u FROM ""/data1/ontime_parquet_72eaa055_4c14_11ee_924e_01a4aa584ed2.parquet"" WHERE Year >= 2000 AND Year <= 2010 GROUP BY DestCityName ORDER BY u DESC LIMIT 10;",0.8216021060943604,0.8233826160430908,0.908836841583252
query_9,23.7.4.5,0.4720489978790283,"SELECT Year, count(*) AS c1 FROM file('ontime_parquet_72eaa055_4c14_11ee_924e_01a4aa584ed2.parquet') GROUP BY Year;",0.483046293258667,0.49994754791259766,0.4720489978790283,query_9,0.8.1,0.4412055015563965,"SELECT Year, COUNT(*) AS c1 FROM ""/data1/ontime_parquet_72eaa055_4c14_11ee_924e_01a4aa584ed2.parquet"" GROUP BY Year;",0.5010702610015869,0.4480302333831787,0.4412055015563965
